Lat,Lon,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14
-87.73112,42.055199,205,,,,,,,,,,,,,
-87.730375,41.785783,59,,,,,,,,,,,,,
-87.730154,41.785923,59,,,,,,,,,,,,,
-87.730591,41.800673,62,,,,,,,,,,,,,
-87.729519,41.844118,60,,,,,,,,,,,,,
-87.730102,41.8716,7,,,,,,,,,,,,,
-87.728196,41.877108,126,,,,,,,,,,,,,
-87.730942,41.880782,20,,,,,,,,,,,,,
-87.728624,41.902666,70,,,,,,,,,,,,,
-87.731148,41.907979,65,,,,,,,,,,,,,
-87.72752,41.941451,56,,,,,,,,,,,,,
-87.729312,41.946291,152,,,,,,,,,,,,,
-87.727761,41.955554,53,,,,,,,,,,,,,
-87.727545,41.95392,53,,,,,,,,,,,,,
-87.727712,41.95985,53,,,,,,,,,,,,,
-87.728123,41.968348,53,,,,,,,,,,,,,
-87.727921,41.968148,53,,,,,,,,,,,,,
-87.72802,41.973522,53,,,,,,,,,,,,,
-87.729621,41.975586,92,,,,,,,,,,,,,
-87.728195,41.977571,53,,,,,,,,,,,,,
-87.728423,41.985753,53,,,,,,,,,,,,,
-87.728018,42.026291,97,,,,,,,,,,,,,
-87.72499,41.778697,63,,,,,,,,,,,,,
-87.727746,41.785953,59,,,,,,,,,,,,,
-87.72442,41.800308,53A,,,,,,,,,,,,,
-87.724649,41.844379,53,,,,,,,,,,,,,
-87.724902,41.85388,53,,,,,,,,,,,,,
-87.724906,41.851402,21,,,,,,,,,,,,,
-87.724869,41.851749,53,,,,,,,,,,,,,
-87.724653,41.851887,53,,,,,,,,,,,,,
-87.724661,41.850998,53,,,,,,,,,,,,,
-87.727492,41.85878,18,,,,,,,,,,,,,
-87.725031,41.857147,53,,,,,,,,,,,,,
-87.7254,41.86922,53,,,,,,,,,,,,,
-87.725188,41.869001,53,,,,,,,,,,,,,
-87.727747,41.874399,7,,,,,,,,,,,,,
-87.725611,41.88211,53,,,,,,,,,,,,,
-87.725834,41.890046,53,,,,,,,,,,,,,
-87.726113,41.893031,53,N66,,,,,,,,,,,,
-87.726178,41.895154,53,N66,,,,,,,,,,,,
-87.726288,41.898924,53,,,,,,,,,,,,,
-87.725999,41.898901,53,,,,,,,,,,,,,
-87.726315,41.900883,53,,,,,,,,,,,,,
-87.726453,41.904596,53,,,,,,,,,,,,,
-87.726252,41.904362,53,,,,,,,,,,,,,
-87.72652,41.911828,53,,,,,,,,,,,,,
-87.726423,41.915256,53,,,,,,,,,,,,,
-87.726723,41.92623,53,,,,,,,,,,,,,
-87.726929,41.933517,53,,,,,,,,,,,,,
-87.726893,41.932025,53,,,,,,,,,,,,,
-87.725186,41.953584,80,,,,,,,,,,,,,
-87.725088,41.953796,80,,,,,,,,,,,,,
-87.723249,41.968198,81,,,,,,,,,,,,,
-87.723005,41.968374,81,,,,,,,,,,,,,
-87.721673,41.727834,53A,,,,,,,,,,,,,
-87.721721,41.734714,87,,,,,,,,,,,,,
-87.721652,41.745708,53A,,,,,,,,,,,,,
-87.72192,41.745952,53A,,,,,,,,,,,,,
-87.724111,41.754995,67,,,,,,,,,,,,,
-87.722117,41.764024,67,,,,,,,,,,,,,
-87.722546,41.767812,53A,,,,,,,,,,,,,
-87.722399,41.773086,53A,,,,,,,,,,,,,
-87.722523,41.778709,63,,,,,,,,,,,,,
-87.723174,41.791474,53A,,,,,,,,,,,,,
-87.723124,41.789653,53A,,,,,,,,,,,,,
-87.723313,41.793321,53A,,,,,,,,,,,,,
-87.72304,41.794962,53A,,,,,,,,,,,,,
-87.723322,41.796839,53A,,,,,,,,,,,,,
-87.723884,41.807951,47,,,,,,,,,,,,,
-87.7212,41.80784,47,,,,,,,,,,,,,
-87.721042,41.807962,47,,,,,,,,,,,,,
-87.719963,41.85153,21,,,,,,,,,,,,,
-87.719763,41.851682,21,,,,,,,,,,,,,
-87.720262,41.866148,12,,,,,,,,,,,,,
-87.723325,41.877168,126,,,,,,,,,,,,,
-87.721025,41.88073,20,,,,,,,,,,,,,
-87.719618,41.90343,65,,,,,,,,,,,,,
-87.721594,41.904188,65,,,,,,,,,,,,,
-87.719491,41.903498,65,,,,,,,,,,,,,
-87.723183,41.917264,73,,,,,,,,,,,,,
-87.721903,41.924651,74,,,,,,,,,,,,,
-87.719363,41.924685,74,,,,,,,,,,,,,
-87.721794,41.931917,76,,,,,,,,,,,,,
-87.719391,41.931917,76,,,,,,,,,,,,,
-87.72205,41.939197,77,,,,,,,,,,,,,
-87.721535,41.939095,77,,,,,,,,,,,,,
-87.720377,41.946524,152,,,,,,,,,,,,,
-87.718965,41.953878,80,,,,,,,,,,,,,
-87.720363,41.961108,78,,,,,,,,,,,,,
-87.72129,41.975652,92,,,,,,,,,,,,,
-87.718569,41.975714,92,,,,,,,,,,,,,
-87.721002,42.026199,97,,,,,,,,,,,,,
-87.718387,42.026385,97,,,,,,,,,,,,,
-87.717823,42.058889,205,,,,,,,,,,,,,
-87.720472,42.064366,201,206,,,,,,,,,,,,
-87.719627,41.683917,53A,,,,,,,,,,,,,
-87.720834,41.709434,53A,103,,,,,,,,,,,,
-87.717396,41.764104,67,,,,,,,,,,,,,
-87.718176,41.785956,59,,,,,,,,,,,,,
-87.716819,41.835127,82,,,,,,,,,,,,,
-87.719539,41.836881,82,,,,,,,,,,,,,
-87.716921,41.83708,82,,,,,,,,,,,,,
-87.71705,41.840592,82,,,,,,,,,,,,,
-87.717438,41.844402,60,,,,,,,,,,,,,
-87.717333,41.844289,60,,,,,,,,,,,,,
-87.717247,41.842592,82,,,,,,,,,,,,,
-87.717207,41.846101,82,,,,,,,,,,,,,
-87.715797,41.874548,7,126,,,,,,,,,,,,
-87.715556,41.873474,7,,,,,,,,,,,,,
-87.717935,41.902661,70,,,,,,,,,,,,,
-87.714902,41.93202,76,,,,,,,,,,,,,
-87.71879,41.935923,56,,,,,,,,,,,,,
-87.715059,41.946461,152,,,,,,,,,,,,,
-87.715458,41.953719,80,,,,,,,,,,,,,
-87.71804,41.968282,81,,,,,,,,,,,,,
-87.715704,41.968443,81,,,,,,,,,,,,,
-87.712999,41.691448,112,,,,,,,,,,,,,
-87.712364,41.778914,63,,,,,,,,,,,,,
-87.711837,41.823457,39,,,,,,,,,,,,,
-87.71491,41.846281,82,,,,,,,,,,,,,
-87.714816,41.847938,82,,,,,,,,,,,,,
-87.712226,41.851822,21,,,,,,,,,,,,,
-87.715323,41.86088,82,,,,,,,,,,,,,
-87.712874,41.866405,12,,,,,,,,,,,,,
-87.713772,41.880943,20,,,,,,,,,,,,,
-87.712075,41.900111,65,,,,,,,,,,,,,
-87.711547,41.900275,82,,,,,,,,,,,,,
-87.711565,41.897404,82,,,,,,,,,,,,,
-87.711859,41.906503,82,,,,,,,,,,,,,
-87.71193,41.90829,82,,,,,,,,,,,,,
-87.711948,41.910213,82,,,,,,,,,,,,,
-87.711819,41.909907,82,,,,,,,,,,,,,
